geo_id,departamento,municipio,altitud,latitud,longitud
25430,cundinamarca,madrid,2557.0,4.77,-74.25
25436,cundinamarca,manta,2030.0,4.993,-73.445
25438,cundinamarca,medina,648.0,4.381,-73.471
25473,cundinamarca,mosquera-cundinamarca,2544.75,4.704,-74.221
25483,cundinamarca,nariño-cundinamarca,283.0,4.393,-74.832
25486,cundinamarca,nemocón,2572.0,5.09,-73.881
25488,cundinamarca,nilo,461.0,4.311,-74.616
25489,cundinamarca,nimaima,620.0,5.125,-74.447
25491,cundinamarca,nocaima,1500.0,5.065,-74.382
25513,cundinamarca,pacho,63.333,5.169,-74.191
25518,cundinamarca,paime,138.0,5.371,-74.155
25524,cundinamarca,pandi,812.5,4.188,-74.494
25530,cundinamarca,paratebueno,276.25,4.377,-73.282
25535,cundinamarca,pasca,2248.0,4.33,-74.356
25572,cundinamarca,puerto-salgar,614.75,5.548,-74.631
25580,cundinamarca,pulí,398.0,4.646,-74.659
25592,cundinamarca,quebradanegra,1107.0,5.138,-74.481
25594,cundinamarca,quetame,1240.0,4.314,-73.875
25649,cundinamarca,san-bernardo-cundinamarca,2700.0,4.152,-74.36
25653,cundinamarca,san-cayetano-cundinamarca,2503.5,5.317,-74.042
25662,cundinamarca,san-juan-de-rioseco,1906.5,4.878,-74.681
25718,cundinamarca,sasaima,1425.0,4.973,-74.412
25736,cundinamarca,sesquilé,2567.0,5.034,-73.848
25740,cundinamarca,sibaté,2685.0,4.473,-74.03
25743,cundinamarca,silvania,1245.0,4.41,-74.398
25745,cundinamarca,simijaca,2584.0,5.559,-73.838
25754,cundinamarca,soacha,2900.0,4.506,-74.189
25758,cundinamarca,sopó,2585.0,4.88,-73.958
25769,cundinamarca,subachoque,2650.0,4.928,-74.167
25772,cundinamarca,suesca,2623.25,5.127,-73.784
25779,cundinamarca,susa,2600.0,5.462,-73.802
25785,cundinamarca,tabio,2587.5,4.916,-74.085
25793,cundinamarca,tausa,1551.5,5.199,-73.924
25799,cundinamarca,tenjo,2565.0,4.824,-74.169
25805,cundinamarca,tibacuy,1592.5,4.349,-74.452
25807,cundinamarca,tibirita,1769.0,5.05,-73.527
25815,cundinamarca,tocaima,361.0,4.455,-74.609
25817,cundinamarca,tocancipá,2497.0,4.983,-73.933
25839,cundinamarca,ubalá,1764.583,4.794,-73.462
25841,cundinamarca,ubaque,2980.0,4.483,-74.03
25843,cundinamarca,ubaté,2582.5,5.316,-73.822
25845,cundinamarca,une,220.0,4.429,-74.01
25506,cundinamarca,venecia-cundinamarca,1450.0,4.082,-74.489
25871,cundinamarca,villagómez,1575.0,5.272,-74.197
25873,cundinamarca,villapinzón,2522.5,5.25,-73.558
25875,cundinamarca,villeta,523.0,5.023,-74.487
25878,cundinamarca,viotá,567.0,4.443,-74.542
25885,cundinamarca,yacopí,1381.5,5.492,-74.361
25899,cundinamarca,zipaquirá,3005.667,5.04,-74.019
25851,cundinamarca,útica,497.0,5.196,-74.486
23068,córdoba,ayapel,23.333,8.323,-75.046
23079,córdoba,buenavista-córdoba,37.0,8.068,-75.361
23090,córdoba,canalete,37.5,8.787,-76.236
23162,córdoba,cereté,19.5,8.895,-75.772
23168,córdoba,chima-córdoba,26.667,9.15,-75.618
23182,córdoba,chinú,125.0,9.118,-75.393
23189,córdoba,ciénaga-de-oro,14.0,8.925,-75.708
23300,córdoba,cotorra,20.0,9.042,-75.775
23350,córdoba,la-apartada,50.0,8.053,-75.339
23417,córdoba,lorica,28.25,9.268,-75.853
